City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Verkhnetulomskiy,RU,2020-08-30 02:27:08,68.61,31.8,32.0,70,89,3.44
124,Westport,US,2020-08-30 02:24:20,41.14,-73.36,77.0,88,90,5.82
125,Manakara,MG,2020-08-30 02:27:08,-22.13,48.02,67.32,89,4,5.41
126,Tasiilaq,GL,2020-08-30 02:27:08,65.61,-37.64,41.0,75,100,2.24
127,Esmeralda,CU,2020-08-30 02:27:09,21.85,-78.12,78.8,100,0,8.05
128,Provideniya,RU,2020-08-30 02:27:09,64.38,-173.3,53.37,63,65,10.18
129,Bathsheba,BB,2020-08-30 02:27:09,13.22,-59.52,82.4,78,40,20.8
130,Pisco,PE,2020-08-30 02:27:09,-13.7,-76.22,63.0,87,90,5.82
131,Coralville,US,2020-08-30 02:27:09,41.68,-91.58,66.2,68,1,3.36
132,Nelson Bay,AU,2020-08-30 02:27:10,-32.72,152.15,71.6,43,0,9.17
133,Husavik,IS,2020-08-30 02:27:10,66.04,-17.34,53.6,66,43,4.7
134,Atikokan,CA,2020-08-30 02:27:10,48.76,-91.62,51.17,85,0,4.81
135,Loukhi,RU,2020-08-30 02:27:10,66.08,33.04,41.22,93,5,1.12
136,Jijiga,ET,2020-08-30 02:27:10,9.35,42.8,64.71,76,100,14.12
137,Marrakesh,MA,2020-08-30 02:23:39,31.63,-8.01,68.0,52,0,5.82
138,Carnarvon,AU,2020-08-30 02:27:11,-24.87,113.63,75.2,29,0,12.75
139,Monrovia,LR,2020-08-30 02:27:11,6.3,-10.8,75.79,87,82,12.19
140,Linguere,SN,2020-08-30 02:27:11,15.4,-15.12,81.52,77,56,10.27
141,Saskylakh,RU,2020-08-30 02:27:11,71.92,114.08,59.31,44,100,5.66
142,Sobolevo,RU,2020-08-30 02:27:12,54.43,31.9,59.22,78,83,10.13
143,Fortuna,US,2020-08-30 02:27:12,40.6,-124.16,59.0,76,1,9.17
144,Piacabucu,BR,2020-08-30 02:27:12,-10.41,-36.43,74.71,82,6,10.92
145,Casma,CL,2020-08-30 02:27:12,-41.01,-73.12,41.0,100,13,3.36
146,Saint George,US,2020-08-30 02:26:48,37.1,-113.58,95.0,17,1,14.99
147,Severo-Kurilsk,RU,2020-08-30 02:27:13,50.68,156.12,52.83,79,63,10.87
148,Mahon,ES,2020-08-30 02:27:13,39.89,4.27,66.2,82,20,5.82
149,Moindou,NC,2020-08-30 02:27:13,-21.69,165.68,70.48,58,10,17.85
150,Tilichiki,RU,2020-08-30 02:27:13,60.47,166.1,54.99,62,100,10.56
151,Waitati,NZ,2020-08-30 02:27:13,-45.75,170.57,61.45,47,49,14.99
152,Gizo,SB,2020-08-30 02:27:13,-8.1,156.84,84.31,76,60,11.12
153,Katsuura,JP,2020-08-30 02:27:14,35.13,140.3,95.0,62,75,4.7
154,Waitara,NZ,2020-08-30 02:27:14,-38.92,174.25,55.0,77,22,13.0
155,Chakradharpur,IN,2020-08-30 02:27:14,22.7,85.63,84.2,79,40,4.7
156,Port Elizabeth,ZA,2020-08-30 02:27:14,-33.92,25.57,46.4,87,90,16.11
157,Ucluelet,CA,2020-08-30 02:23:10,48.93,-125.55,64.4,59,20,18.34
158,Tautira,PF,2020-08-30 02:27:14,-17.73,-149.15,84.2,62,40,10.29
159,Pilar,BR,2020-08-30 02:27:14,-9.6,-35.96,71.6,94,20,2.24
160,Helena,US,2020-08-30 02:25:34,46.59,-112.04,80.6,13,1,12.75
161,Akyab,MM,2020-08-30 02:27:15,20.15,92.9,82.18,82,100,5.1
162,Camocim De Sao Felix,BR,2020-08-30 02:27:15,-8.36,-35.76,64.67,100,58,9.31
163,Opuwo,NA,2020-08-30 02:27:15,-18.06,13.84,45.37,55,0,3.24
164,Mbuji-Mayi,CD,2020-08-30 02:27:15,-6.15,23.6,74.37,77,100,4.56
165,Bud,US,2020-08-30 02:27:15,39.45,-86.18,71.01,73,1,6.98
166,Thompson,CA,2020-08-30 02:26:30,55.74,-97.86,53.6,81,75,4.7
167,Camana,PE,2020-08-30 02:27:16,-16.62,-72.71,60.12,81,79,9.4
168,Laguna,US,2020-08-30 02:27:16,38.42,-121.42,84.0,34,1,8.05
