City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Chickasha,US,87.8,clear sky,35.05,-97.94,Holiday Inn Express & Suites Chickasha
428,Hasilpur,PK,87.93,moderate rain,29.71,72.56,Dr Riaz's House 89 Fateh
429,Tanete,ID,76.91,light rain,-3.94,119.78,Wisma Tri Multi
430,Tobias Barreto,BR,84.18,few clouds,-11.18,-38.0,Pousada Moura
431,Lansing,US,71.6,clear sky,42.73,-84.56,Quality Inn University
432,Benguela,AO,82.4,few clouds,-12.58,13.41,Hotel Praia Morena
433,Itanagar,IN,76.87,overcast clouds,27.1,93.62,OYO 45507 Hotel Moomsie
435,Malindi,KE,77.34,clear sky,-3.22,40.12,African House Resort
438,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
439,San Enrique,PH,79.83,overcast clouds,10.42,122.85,South Midway Resort
441,Baglan,AF,70.41,clear sky,36.13,68.71,Habibullah MOsazai
442,Itirapina,BR,86.0,clear sky,-22.25,-47.82,Pousada Paraiso das Aguas
443,Aksu,CN,78.82,broken clouds,41.12,80.26,Pudong Holiday Hotel
444,Dakar,SN,87.8,few clouds,14.69,-17.44,Novotel Dakar
445,Talhar,PK,78.64,overcast clouds,24.88,68.82,Electrical department Bawany
447,Houma,US,89.6,broken clouds,29.6,-90.72,Days Inn by Wyndham Houma LA
448,Maanshan,CN,84.0,light rain,31.7,118.5,天目湖酒店
449,La Libertad,EC,71.6,overcast clouds,-2.23,-80.9,Playa Canela Hotel Boutique
451,Lingao,CN,81.97,light rain,19.91,109.69,Lingao Ditai Inn
452,Chhibramau,IN,84.99,broken clouds,27.15,79.5,subhash chandra mishra
456,Mount Vernon,US,73.99,broken clouds,40.91,-73.84,Ramada by Wyndham Bronx
458,San Felipe,VE,85.28,overcast clouds,10.34,-68.74,Posada Llovizna Rodríguez
459,Oussouye,SN,86.0,scattered clouds,12.48,-16.55,Auberge du Routard
460,Cabinda,AO,75.2,few clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
462,Marawi,PH,78.01,light rain,8.0,124.29,Salihmaruhom
464,Matara,LK,80.94,light rain,5.95,80.54,Amaloh Boutique Resort
465,Ondjiva,AO,89.6,clear sky,-17.07,15.73,SOS Motel
468,Webb City,US,81.0,broken clouds,37.15,-94.46,Lakeside Cottages of Joplin
469,Ilhabela,BR,75.16,scattered clouds,-23.78,-45.36,Ilha Flat Hotel
473,Kavaratti,IN,82.29,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
475,Vinukonda,IN,85.23,overcast clouds,16.05,79.75,VLS Residency
480,Seoul,KR,80.6,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
482,Lambarene,GA,81.72,overcast clouds,-0.7,10.24,Le Refuge
483,Omboue,GA,76.32,overcast clouds,-1.57,9.26,Hotel Olako
485,Visakhapatnam,IN,84.2,mist,17.69,83.21,Best Western Ramachandra Hotel
486,Sarangani,PH,83.5,scattered clouds,5.4,125.46,Ballistic Islet
491,Norton Shores,US,73.4,broken clouds,43.17,-86.26,Hampton Inn Muskegon
492,Natal,BR,86.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
493,Mugumu,TZ,75.16,overcast clouds,-1.85,34.7,Lemala Mara
495,Columbus,US,75.0,scattered clouds,39.96,-83.0,DoubleTree Suites by Hilton Hotel Columbus Downtown
